VARIABLES = "X" , "Y", "density"
-24 -14 0
-24 -10 0
-24 -6 0
-24 -2 0
-24 2 0.015443811
-24 6 0.019258372
-24 10 0.02202858
-24 14 0.022165829
-24 18 0.021603463
-24 22 0.02161286
-24 26 0.021624378
-24 30 0.021614358
-24 34 0.021564248
-24 38 0.021538984
-24 42 0.021491036
-24 46 0.021476891
-24 50 0.021466148
-24 54 0.021416174
-24 58 0.021465245
-24 62 0.021442054
-24 66 0.021470815
-24 70 0.021457471
-24 74 0.021517608
-24 78 0.021510707
-24 82 0.021575301
-24 86 0.021574477
-24 90 0.021659029
-24 94 0.021741467
-24 98 0.021688972
-24 102 0.02165292
-24 106 0.022203971
-24 110 0.022126559
-24 114 0.019313306
-24 118 0.015530481
-24 122 0
-24 126 0
-24 130 0
-24 134 0
-24 138 0
-8 -14 0
-8 -10 0
-8 -6 0
-8 -2 0
-8 2 0.018319111
-8 6 0.020905575
-8 10 0.026295091
-8 14 0.025534564
-8 18 0.024178026
-8 22 0.024791389
-8 26 0.024908711
-8 30 0.024794319
-8 34 0.024807963
-8 38 0.024741388
-8 42 0.024917301
-8 46 0.024829863
-8 50 0.024847164
-8 54 0.024868679
-8 58 0.024813798
-8 62 0.024759712
-8 66 0.024906587
-8 70 0.024872683
-8 74 0.024759566
-8 78 0.024851102
-8 82 0.024850728
-8 86 0.024787639
-8 90 0.02478794
-8 94 0.024849293
-8 98 0.024810764
-8 102 0.024244317
-8 106 0.025463585
-8 110 0.026240004
-8 114 0.020891975
-8 118 0.018318977
-8 122 0
-8 126 0
-8 130 0
-8 134 0
-8 138 0
